GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
STIN_News,models,ApplicationUser,0,42,0,0,0,13,0,9,0,9
STIN_News,models,StockSentiment,0,42,0,0,0,18,0,12,0,12
STIN_News,models,Stock,0,53,0,0,0,22,0,11,0,11
STIN_News,clients,AlphaVantageClient,72,30,0,0,11,8,2,2,2,2
STIN_News,controllers,StockController,13,301,11,17,0,69,11,15,1,11
STIN_News,controllers,SentimentController,0,43,0,2,0,11,0,6,0,5
STIN_News,controllers,TriggerEvaluateNewsController,13,6,0,0,4,3,2,1,2,1
STIN_News,controllers,AuthController,27,85,5,5,5,25,3,10,0,8
STIN_News,dtos,StockQueryDto,0,41,0,0,0,14,0,10,0,10
STIN_News,dtos,StockSentimentDto,0,31,0,0,0,13,0,9,0,9
STIN_News,services,StockQueryDtoDeserializer,12,138,0,18,4,42,0,12,0,3
STIN_News,services,NewsScheduler,10,33,0,0,4,12,1,3,1,3
STIN_News,services,CustomUserDetailsService,40,6,2,0,10,3,4,1,3,1
STIN_News,services,RecommendationMapDeserializer,1,120,1,21,0,29,1,13,0,3
STIN_News,services,UserServiceImpl,0,326,0,8,0,78,0,17,0,13
STIN_News,services,NewsEvaluationService,140,154,8,4,27,42,7,10,2,9
STIN_News,services,SentimentAnalysisService,57,98,3,11,12,22,4,8,1,4
STIN_News,config,SecurityConfig,0,115,0,0,0,21,0,7,0,7
STIN_News,config,WebClientConfig,0,8,0,0,0,2,0,2,0,2
STIN_News,config,SchedulingConfig,3,3,0,0,1,1,1,1,1,1
STIN_News,config,JacksonConfig,0,24,0,0,0,6,0,2,0,2
